# Daggerfall N per-frame log -- one line per PRESENTED frame.
# No readback, no settle, no cooldown: this instrument cannot
# quiet the thing it is pointed at. Between-frames motion is
# arithmetic on adjacent lines.
# frame dt_ms game_s speed fov_y eye_x eye_y eye_z yaw pitch
133 8.4001 866.317147 5.957916 1.41224527 137.448334 22.808784 126.916870 1.671385 0.000000
134 8.0457 866.325193 5.957916 1.41225648 137.495819 22.815224 126.923782 1.671373 0.000000
135 8.2881 866.333481 5.957916 1.41226792 137.544724 22.821844 126.930901 1.671361 0.000000
136 8.6183 866.342099 5.957916 1.41227937 137.595581 22.828053 126.938416 1.671348 0.000000
137 8.3901 866.350489 5.957870 1.41229022 137.645111 22.834045 126.945740 1.671336 0.000000
138 8.2707 866.358760 5.957870 1.41230035 137.693878 22.839182 126.953026 1.671324 0.000000
139 8.1109 866.366871 5.956959 1.41231036 137.741730 22.844196 126.960175 1.671311 0.000000
140 8.5681 866.375439 5.956959 1.41231990 137.792267 22.848604 126.967773 1.671299 0.000000
141 8.1450 866.383584 5.956959 1.41232872 137.840302 22.852764 126.974998 1.671287 0.000000
142 8.2432 866.391827 5.956959 1.41233718 137.888916 22.856026 126.982315 1.671274 0.000000
143 8.6162 866.400443 5.956912 1.41234612 137.939743 22.859383 126.989975 1.671261 0.000000
144 8.0915 866.408535 5.956912 1.41235387 137.987457 22.861656 126.997116 1.671249 0.000000
145 8.5612 866.417096 5.956912 1.41236234 138.037949 22.864014 127.004684 1.671235 0.000000
146 8.3841 866.425480 5.956912 1.41236997 138.087402 22.865486 127.012024 1.671222 0.000000
147 8.0404 866.433520 5.956912 1.41237736 138.134857 22.866880 127.019066 1.671210 0.000000
148 8.3161 866.441837 5.956912 1.41238451 138.183914 22.867601 127.026245 1.671197 0.000000
149 8.3236 866.450160 5.954321 1.41239178 138.233017 22.868315 127.033424 1.671184 0.000000
150 8.6003 866.458761 5.954321 1.41239715 138.283752 22.868652 127.040726 1.671170 0.000000
151 8.3428 866.467103 5.955232 1.41240227 138.332977 22.868961 127.047791 1.671157 0.000000
152 8.0790 866.475182 5.955232 1.41240764 138.380646 22.868912 127.054482 1.671142 0.000000
153 8.3063 866.483489 5.955184 1.41241300 138.429672 22.868860 127.061356 1.671128 0.000000
154 8.6103 866.492099 5.955184 1.41241837 138.480515 22.868721 127.068268 1.671112 0.000000
155 8.0764 866.500175 5.955184 1.41242337 138.528198 22.868591 127.074760 1.671097 0.000000
156 8.8025 866.508978 5.955184 1.41242838 138.580200 22.868624 127.081604 1.671081 0.000000
157 7.8849 866.516863 5.955184 1.41243303 138.626770 22.868662 127.087715 1.671067 0.000000
158 8.2990 866.525162 5.955184 1.41243756 138.675827 22.869097 127.093918 1.671052 0.000000
159 8.5677 866.533729 5.952453 1.41244221 138.726456 22.869579 127.100319 1.671036 0.000000
160 8.1129 866.541842 5.952453 1.41244459 138.774414 22.870705 127.106110 1.671021 0.000000
161 8.2972 866.550139 5.953316 1.41244709 138.823456 22.871870 127.112045 1.671005 0.000000
162 8.6209 866.558760 5.953316 1.41245019 138.874451 22.873863 127.117920 1.670988 0.000000
163 8.1679 866.566928 5.953316 1.41245317 138.922745 22.875778 127.123482 1.670972 0.000000
164 8.2365 866.575165 5.953316 1.41245580 138.971497 22.878580 127.128815 1.670956 0.000000
