# call qx qy qz carve_dist ground_y above_ground path_m path_measured darkness
126 802.788 25.015 295.462 +2.136444 24.974 1 0.000 0 0.000000
127 802.831 25.033 295.434 +2.126469 24.992 1 0.000 0 0.000000
128 802.875 25.051 295.405 +2.116493 25.010 1 0.000 0 0.000000
129 802.896 25.060 295.391 +2.111500 25.019 1 0.000 0 0.000000
130 802.939 25.077 295.362 +2.101460 25.037 1 0.000 0 0.000000
131 802.982 25.095 295.333 +2.091377 25.054 1 0.000 0 0.000000
132 803.004 25.104 295.319 +2.086325 25.063 1 0.000 0 0.000000
133 803.004 25.104 295.319 +2.086325 25.063 1 0.000 0 0.000000
134 803.046 25.122 295.291 +2.076212 25.081 1 0.000 0 0.000000
135 803.089 25.139 295.262 +2.066082 25.099 1 0.000 0 0.000000
136 803.132 25.157 295.233 +2.055933 25.117 1 0.000 0 0.000000
137 803.154 25.166 295.219 +2.050852 25.126 1 0.000 0 0.000000
138 803.196 25.184 295.190 +2.040524 25.144 1 0.000 0 0.000000
139 803.239 25.202 295.161 +2.030128 25.162 1 0.000 0 0.000000
140 803.260 25.211 295.147 +2.024925 25.171 1 0.000 0 0.000000
141 803.302 25.229 295.118 +2.014509 25.188 1 0.000 0 0.000000
142 803.324 25.238 295.104 +2.009293 25.197 1 0.000 0 0.000000
143 803.345 25.247 295.089 +2.004072 25.206 1 0.000 0 0.000000
144 803.345 25.247 295.089 +2.004072 25.206 1 0.000 0 0.000000
145 803.387 25.265 295.060 +1.993614 25.224 1 0.000 0 0.000000
146 803.409 25.274 295.046 +1.988388 25.233 1 0.000 0 0.000000
147 803.409 25.274 295.046 +1.988388 25.233 1 0.000 0 0.000000
148 803.430 25.283 295.031 +1.983147 25.242 1 0.000 0 0.000000
149 803.451 25.292 295.017 +1.977905 25.251 1 0.000 0 0.000000
150 803.472 25.301 295.003 +1.972658 25.260 1 0.000 0 0.000000
151 803.472 25.301 295.003 +1.972658 25.260 1 0.000 0 0.000000
152 803.493 25.310 294.988 +1.967489 25.270 1 0.000 0 0.000000
153 803.514 25.319 294.973 +1.962292 25.279 1 0.000 0 0.000000
154 803.535 25.328 294.959 +1.957085 25.288 1 0.000 0 0.000000
155 803.557 25.337 294.944 +1.951874 25.297 1 0.000 0 0.000000
156 803.557 25.337 294.944 +1.951874 25.297 1 0.000 0 0.000000
157 803.578 25.346 294.930 +1.946661 25.306 1 0.000 0 0.000000
158 803.599 25.355 294.915 +1.941437 25.315 1 0.000 0 0.000000
159 803.599 25.355 294.915 +1.941437 25.315 1 0.000 0 0.000000
160 803.620 25.364 294.901 +1.936207 25.324 1 0.000 0 0.000000
161 803.620 25.364 294.901 +1.936207 25.324 1 0.000 0 0.000000
162 803.641 25.373 294.886 +1.930983 25.333 1 0.000 0 0.000000
163 803.662 25.382 294.871 +1.925749 25.342 1 0.000 0 0.000000
164 803.662 25.382 294.871 +1.925749 25.342 1 0.000 0 0.000000
165 803.683 25.392 294.857 +1.920515 25.351 1 0.000 0 0.000000
166 803.704 25.401 294.842 +1.915108 25.360 1 0.000 0 0.000000
167 803.725 25.410 294.828 +1.909702 25.369 1 0.000 0 0.000000
168 803.746 25.419 294.813 +1.904301 25.379 1 0.000 0 0.000000
169 803.746 25.419 294.813 +1.904301 25.379 1 0.000 0 0.000000
170 803.767 25.428 294.799 +1.898880 25.388 1 0.000 0 0.000000
171 803.767 25.428 294.799 +1.898880 25.388 1 0.000 0 0.000000
172 803.788 25.437 294.784 +1.893465 25.397 1 0.000 0 0.000000
173 803.829 25.456 294.755 +1.882612 25.415 1 0.000 0 0.000000
174 803.829 25.456 294.755 +1.882612 25.415 1 0.000 0 0.000000
175 803.850 25.465 294.740 +1.877171 25.424 1 0.000 0 0.000000
176 803.871 25.474 294.726 +1.871731 25.433 1 0.000 0 0.000000
177 803.871 25.474 294.726 +1.871731 25.433 1 0.000 0 0.000000
178 803.892 25.484 294.711 +1.866295 25.442 1 0.000 0 0.000000
179 803.913 25.493 294.696 +1.860849 25.452 1 0.000 0 0.000000
180 803.933 25.502 294.682 +1.855394 25.461 1 0.000 0 0.000000
181 803.933 25.502 294.682 +1.855394 25.461 1 0.000 0 0.000000
182 803.954 25.511 294.667 +1.849936 25.470 1 0.000 0 0.000000
183 803.975 25.520 294.652 +1.844479 25.479 1 0.000 0 0.000000
184 803.975 25.520 294.652 +1.844479 25.479 1 0.000 0 0.000000
185 803.996 25.530 294.638 +1.838943 25.488 1 0.000 0 0.000000
186 804.016 25.539 294.623 +1.833405 25.497 1 0.000 0 0.000000
187 804.016 25.539 294.623 +1.833405 25.497 1 0.000 0 0.000000
188 804.037 25.548 294.608 +1.827873 25.506 1 0.000 0 0.000000
189 804.058 25.558 294.594 +1.822330 25.516 1 0.000 0 0.000000
190 804.078 25.567 294.579 +1.816788 25.525 1 0.000 0 0.000000
191 804.120 25.586 294.550 +1.805674 25.543 1 0.000 0 0.000000
192 804.120 25.586 294.550 +1.805674 25.543 1 0.000 0 0.000000
193 804.140 25.595 294.535 +1.800108 25.552 1 0.000 0 0.000000
194 804.161 25.604 294.520 +1.794538 25.562 1 0.000 0 0.000000
195 804.181 25.614 294.505 +1.788961 25.571 1 0.000 0 0.000000
196 804.181 25.614 294.505 +1.788961 25.571 1 0.000 0 0.000000
197 804.202 25.623 294.491 +1.783384 25.580 1 0.000 0 0.000000
198 804.223 25.632 294.476 +1.777798 25.589 1 0.000 0 0.000000
199 804.243 25.642 294.461 +1.772203 25.598 1 0.000 0 0.000000
200 804.264 25.651 294.446 +1.766632 25.608 1 0.000 0 0.000000
201 804.284 25.660 294.431 +1.761045 25.617 1 0.000 0 0.000000
202 804.305 25.670 294.417 +1.755457 25.626 1 0.000 0 0.000000
203 804.345 25.689 294.387 +1.744249 25.645 1 0.000 0 0.000000
204 804.366 25.698 294.372 +1.738640 25.654 1 0.000 0 0.000000
205 804.366 25.698 294.372 +1.738640 25.654 1 0.000 0 0.000000
206 804.407 25.717 294.342 +1.727386 25.673 1 0.000 0 0.000000
207 804.427 25.726 294.327 +1.721754 25.682 1 0.000 0 0.000000
208 804.447 25.735 294.312 +1.716114 25.691 1 0.000 0 0.000000
209 804.468 25.745 294.297 +1.710468 25.701 1 0.000 0 0.000000
210 804.488 25.754 294.282 +1.704935 25.710 1 0.000 0 0.000000
211 804.508 25.763 294.267 +1.699369 25.720 1 0.000 0 0.000000
212 804.529 25.773 294.252 +1.693790 25.729 1 0.000 0 0.000000
213 804.549 25.782 294.237 +1.688210 25.738 1 0.000 0 0.000000
214 804.569 25.792 294.222 +1.682617 25.748 1 0.000 0 0.000000
215 804.590 25.801 294.207 +1.677017 25.757 1 0.000 0 0.000000
216 804.610 25.810 294.191 +1.671410 25.767 1 0.000 0 0.000000
217 804.630 25.820 294.176 +1.665804 25.776 1 0.000 0 0.000000
218 804.650 25.829 294.161 +1.660183 25.786 1 0.000 0 0.000000
219 804.671 25.838 294.146 +1.654564 25.795 1 0.000 0 0.000000
220 804.671 25.838 294.146 +1.654564 25.795 1 0.000 0 0.000000
221 804.691 25.848 294.131 +1.648937 25.805 1 0.000 0 0.000000
222 804.711 25.857 294.115 +1.643291 25.814 1 0.000 0 0.000000
223 804.731 25.867 294.100 +1.637657 25.824 1 0.000 0 0.000000
224 804.731 25.867 294.100 +1.637657 25.824 1 0.000 0 0.000000
225 804.751 25.876 294.085 +1.632011 25.833 1 0.000 0 0.000000
226 804.771 25.885 294.070 +1.626358 25.843 1 0.000 0 0.000000
227 804.771 25.885 294.070 +1.626358 25.843 1 0.000 0 0.000000
228 804.791 25.895 294.054 +1.620703 25.852 1 0.000 0 0.000000
229 804.811 25.905 294.039 +1.614597 25.862 1 0.000 0 0.000000
230 804.832 25.914 294.024 +1.609154 25.871 1 0.000 0 0.000000
231 804.852 25.923 294.009 +1.603287 25.881 1 0.000 0 0.000000
232 804.852 25.923 294.009 +1.603287 25.881 1 0.000 0 0.000000
233 804.871 25.933 293.994 +1.597424 25.890 1 0.000 0 0.000000
234 804.891 25.943 293.978 +1.591551 25.899 1 0.000 0 0.000000
235 804.911 25.952 293.963 +1.585655 25.909 1 0.000 0 0.000000
236 804.931 25.962 293.948 +1.579767 25.918 1 0.000 0 0.000000
237 804.931 25.962 293.948 +1.579767 25.918 1 0.000 0 0.000000
238 804.951 25.972 293.933 +1.573864 25.928 1 0.000 0 0.000000
239 804.951 25.972 293.933 +1.573864 25.928 1 0.000 0 0.000000
240 804.971 25.981 293.918 +1.567953 25.937 1 0.000 0 0.000000
241 804.971 25.981 293.918 +1.567953 25.937 1 0.000 0 0.000000
242 804.991 25.991 293.902 +1.562042 25.947 1 0.000 0 0.000000
243 805.010 26.000 293.887 +1.556116 25.956 1 0.000 0 0.000000
244 805.030 26.010 293.872 +1.550182 25.966 1 0.000 0 0.000000
245 805.030 26.010 293.872 +1.550182 25.966 1 0.000 0 0.000000
246 805.050 26.020 293.857 +1.544241 25.975 1 0.000 0 0.000000
247 805.050 26.020 293.857 +1.544241 25.975 1 0.000 0 0.000000
248 805.089 26.039 293.826 +1.532339 25.994 1 0.000 0 0.000000
249 805.089 26.039 293.826 +1.532339 25.994 1 0.000 0 0.000000
250 805.109 26.049 293.811 +1.526360 26.004 1 0.000 0 0.000000
251 805.109 26.049 293.811 +1.526360 26.004 1 0.000 0 0.000000
252 805.109 26.049 293.811 +1.526360 26.004 1 0.000 0 0.000000
253 805.129 26.059 293.795 +1.520390 26.014 1 0.000 0 0.000000
254 805.129 26.059 293.795 +1.520390 26.014 1 0.000 0 0.000000
255 805.148 26.068 293.780 +1.514408 26.023 1 0.000 0 0.000000
256 805.148 26.068 293.780 +1.514408 26.023 1 0.000 0 0.000000
257 805.168 26.078 293.765 +1.508417 26.033 1 0.000 0 0.000000
258 805.187 26.088 293.749 +1.502407 26.042 1 0.000 0 0.000000
259 805.187 26.088 293.749 +1.502407 26.042 1 0.000 0 0.000000
260 805.207 26.097 293.734 +1.496401 26.052 1 0.000 0 0.000000
261 805.207 26.097 293.734 +1.496401 26.052 1 0.000 0 0.000000
262 805.207 26.097 293.734 +1.496401 26.052 1 0.000 0 0.000000
263 805.227 26.107 293.718 +1.490389 26.062 1 0.000 0 0.000000
264 805.246 26.117 293.703 +1.484354 26.071 1 0.000 0 0.000000
265 805.246 26.117 293.703 +1.484354 26.071 1 0.000 0 0.000000
266 805.265 26.127 293.687 +1.478327 26.081 1 0.000 0 0.000000
267 805.265 26.127 293.687 +1.478327 26.081 1 0.000 0 0.000000
268 805.265 26.127 293.687 +1.478327 26.081 1 0.000 0 0.000000
269 805.285 26.137 293.672 +1.471752 26.090 1 0.000 0 0.000000
270 805.285 26.137 293.672 +1.471752 26.090 1 0.000 0 0.000000
271 805.304 26.146 293.656 +1.466036 26.100 1 0.000 0 0.000000
272 805.304 26.146 293.656 +1.466036 26.100 1 0.000 0 0.000000
273 805.324 26.156 293.641 +1.460093 26.110 1 0.000 0 0.000000
274 805.343 26.166 293.625 +1.453991 26.120 1 0.000 0 0.000000
275 805.343 26.166 293.625 +1.453991 26.120 1 0.000 0 0.000000
276 805.362 26.176 293.610 +1.447863 26.129 1 0.000 0 0.000000
277 805.362 26.176 293.610 +1.447863 26.129 1 0.000 0 0.000000
278 805.362 26.176 293.610 +1.447863 26.129 1 0.000 0 0.000000
279 805.381 26.185 293.594 +1.441740 26.139 1 0.000 0 0.000000
280 805.401 26.195 293.578 +1.435602 26.149 1 0.000 0 0.000000
281 805.401 26.195 293.578 +1.435602 26.149 1 0.000 0 0.000000
282 805.420 26.205 293.563 +1.429396 26.158 1 0.000 0 0.000000
283 805.420 26.205 293.563 +1.429396 26.158 1 0.000 0 0.000000
284 805.439 26.215 293.547 +1.423206 26.168 1 0.000 0 0.000000
285 805.458 26.225 293.531 +1.417000 26.178 1 0.000 0 0.000000
286 805.458 26.225 293.531 +1.417000 26.178 1 0.000 0 0.000000
287 805.458 26.225 293.531 +1.417000 26.178 1 0.000 0 0.000000
288 805.477 26.235 293.516 +1.410791 26.187 1 0.000 0 0.000000
289 805.496 26.245 293.500 +1.404564 26.197 1 0.000 0 0.000000
290 805.496 26.245 293.500 +1.404564 26.197 1 0.000 0 0.000000
291 805.515 26.255 293.484 +1.398327 26.207 1 0.000 0 0.000000
292 805.515 26.255 293.484 +1.398327 26.207 1 0.000 0 0.000000
293 805.534 26.264 293.469 +1.392084 26.217 1 0.000 0 0.000000
294 805.534 26.264 293.469 +1.392084 26.217 1 0.000 0 0.000000
295 805.553 26.274 293.453 +1.385981 26.227 1 0.000 0 0.000000
