# Daggerfall N per-frame log -- one line per PRESENTED frame.
# No readback, no settle, no cooldown: this instrument cannot
# quiet the thing it is pointed at. Between-frames motion is
# arithmetic on adjacent lines.
# frame dt_ms game_s speed fov_y eye_x eye_y eye_z yaw pitch
# DECIMATED 1:10 from the raw DFN_FRAME_LOG (the run presented ~1150 frames/s,
# so this keeps ~115 samples per second against a 60 Hz simulation tick --
# every tick is still sampled about twice, and the quantity claimed from this
# file is a SUSTAINED DISPLACEMENT (mm of eye travel) plus the SHAPE of a
# 0.15 s ramp, neither of which decimation can hide. It is NOT a per-frame
# meander like docs/FINDING_RUN_SMEAR.md, where every frame had to be kept.
452 2.0083 866.759266 1.797009 1.30900145 131.340286 21.728043 127.532318 1.597869 0.000000
456 2.0092 866.767854 1.797009 1.30900145 131.355728 21.726620 127.532135 1.597867 0.000000
460 2.0145 866.776879 1.797009 1.30900145 131.371948 21.725225 127.532021 1.597866 0.000000
464 2.0459 866.785595 1.797009 1.30900145 131.387634 21.723927 127.531937 1.597864 0.000000
468 2.0095 866.794392 1.797009 1.30900145 131.403442 21.722742 127.531914 1.597862 0.000000
472 2.0076 866.803182 1.797009 1.30900145 131.419250 21.721642 127.531929 1.597861 0.000000
476 1.8677 866.811575 1.797009 1.30900145 131.434326 21.720730 127.531990 1.597859 0.000000
480 2.0207 866.820594 1.797009 1.30900145 131.450546 21.719868 127.532104 1.597857 0.000000
484 1.9848 866.829413 1.797009 1.30900145 131.466400 21.719181 127.532265 1.597856 0.000000
488 1.9287 866.838157 1.797009 1.30900145 131.482101 21.718666 127.532486 1.597854 0.000000
492 2.0580 866.846870 1.797009 1.30900145 131.497757 21.718288 127.532753 1.597853 0.000000
496 1.9873 866.855525 1.797009 1.30900145 131.513306 21.718121 127.533073 1.597851 0.000000
500 1.9962 866.864292 1.797009 1.30900145 131.529053 21.718067 127.533447 1.597849 0.000000
504 2.6857 866.873693 1.797009 1.30900145 131.545944 21.718281 127.533905 1.597848 0.000000
508 2.7022 866.882419 1.797009 1.30900145 131.561615 21.718563 127.534370 1.597846 0.000000
512 2.7270 866.891182 1.797009 1.30900145 131.577362 21.719151 127.534927 1.597844 0.000000
516 1.9393 866.899764 1.797009 1.30900145 131.592773 21.719755 127.535484 1.597843 0.000000
520 2.0460 866.908765 1.797009 1.30900145 131.608932 21.720840 127.536171 1.597841 0.000000
524 2.2415 866.917520 1.795179 1.30900145 131.624649 21.721937 127.536850 1.597839 0.000000
528 2.2725 866.926239 1.795179 1.30900145 131.640289 21.723293 127.537613 1.597838 0.000000
532 2.0140 866.935021 1.795179 1.30900145 131.656036 21.724709 127.538399 1.597836 0.000000
536 1.9196 866.943695 1.795179 1.30900145 131.671585 21.726320 127.539246 1.597834 0.000000
540 2.0533 866.952675 1.795179 1.30900145 131.687683 21.728050 127.540161 1.597833 0.000000
544 1.9558 866.961286 1.795179 1.30900145 131.703140 21.729856 127.541100 1.597831 0.000000
548 1.9904 866.970101 1.795179 1.30900145 131.718933 21.731766 127.542099 1.597829 0.000000
552 1.9927 866.978828 1.795179 1.30900145 131.734589 21.733753 127.543137 1.597827 0.000000
556 1.8677 866.987428 1.795179 1.30900145 131.750000 21.735760 127.544197 1.597826 0.000000
560 2.0339 866.996592 1.795179 1.30900145 131.766418 21.737949 127.545372 1.597824 0.000000
564 2.0666 867.005437 1.795179 1.30900145 131.782288 21.740086 127.546547 1.597822 0.000000
568 2.6561 867.014815 1.795179 1.30900145 131.799088 21.742361 127.547829 1.597820 0.000000
