# Daggerfall N per-frame log -- one line per PRESENTED frame.
# No readback, no settle, no cooldown: this instrument cannot
# quiet the thing it is pointed at. Between-frames motion is
# arithmetic on adjacent lines.
# frame dt_ms game_s speed fov_y eye_x eye_y eye_z yaw pitch
# DECIMATED 1:10 from the raw DFN_FRAME_LOG (the run presented ~1150 frames/s,
# so this keeps ~115 samples per second against a 60 Hz simulation tick --
# every tick is still sampled about twice, and the quantity claimed from this
# file is a SUSTAINED DISPLACEMENT (mm of eye travel) plus the SHAPE of a
# 0.15 s ramp, neither of which decimation can hide. It is NOT a per-frame
# meander like docs/FINDING_RUN_SMEAR.md, where every frame had to be kept.
1160 0.8236 867.158436 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
1170 0.7015 867.167008 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
1180 0.8190 867.175738 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
1190 0.8694 867.184496 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
1200 0.8267 867.192963 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
1210 1.5274 867.202153 0.000000 1.30900002 128.000000 21.725426 127.900040 0.000000 0.000000
1220 1.4876 867.210925 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1230 0.9142 867.219653 0.000000 1.30900002 128.000000 21.725426 127.900040 0.000000 0.000000
1240 1.5040 867.228135 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
1250 0.7427 867.236485 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1260 0.8020 867.245132 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
1270 0.8702 867.253703 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1280 0.7260 867.262138 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1290 0.7392 867.270394 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
1300 0.6865 867.278948 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
1310 0.9101 867.287654 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
1320 0.7188 867.296149 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1330 0.7507 867.304814 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
1340 0.8488 867.313475 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1350 0.6683 867.321734 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
1360 0.8134 867.330560 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1370 0.6753 867.338856 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1380 0.7439 867.347559 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1390 0.8665 867.356217 0.000000 1.30900002 128.000000 21.725426 127.900047 0.000000 0.000000
1400 0.6867 867.364581 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
1410 0.7550 867.373061 0.000000 1.30900002 128.000000 21.725430 127.900047 0.000000 0.000000
1420 0.6935 867.381667 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1430 0.8220 867.390254 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1440 0.7352 867.398954 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1450 0.8871 867.407494 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
1460 0.7722 867.415953 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1470 0.8219 867.424594 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1480 0.6892 867.433241 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1490 0.7985 867.441809 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
1500 0.8246 867.450320 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1510 0.8005 867.458803 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
1520 0.8074 867.467446 0.000000 1.30900002 128.000000 21.725430 127.900055 0.000000 0.000000
1530 0.8021 867.475800 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
1540 0.9276 867.484655 0.000000 1.30900002 128.000000 21.725426 127.900047 0.000000 0.000000
1550 0.8509 867.493085 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1560 0.8607 867.501541 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1570 1.5735 867.511015 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
1580 1.5779 867.519467 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1590 1.5493 867.528030 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
1600 0.9090 867.536465 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1610 0.7108 867.545072 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
1620 0.7327 867.553663 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1630 0.7498 867.562141 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1640 0.7900 867.570636 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1650 0.7136 867.579295 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1660 0.8127 867.587878 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
1670 0.7252 867.596431 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
1680 0.6492 867.604920 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1690 0.7123 867.613772 0.000000 1.30900002 128.000000 21.725426 127.900055 0.000000 0.000000
1700 0.7272 867.622157 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1710 0.6814 867.630982 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1720 0.7770 867.639889 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
1730 0.8874 867.648788 0.000000 1.30900002 128.000000 21.725430 127.900047 0.000000 0.000000
1740 0.8139 867.657397 0.000000 1.30900002 128.000000 21.725426 127.900040 0.000000 0.000000
1750 0.7191 867.666221 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1760 0.7458 867.674707 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1770 0.8698 867.683472 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1780 0.7457 867.691972 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1790 0.7301 867.700525 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1800 0.8681 867.709033 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
1810 0.8927 867.717813 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1820 0.8315 867.726379 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1830 1.5613 867.735755 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
1840 1.5639 867.744439 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
1850 1.1287 867.752916 0.000000 1.30900002 128.000000 21.725426 127.900040 0.000000 0.000000
1860 0.7170 867.761473 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
1870 0.8292 867.769966 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
1880 0.8910 867.778275 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1890 0.7435 867.786781 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1900 0.7035 867.795458 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
1910 0.7832 867.804138 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1920 0.6929 867.812805 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1930 0.7710 867.821391 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
1940 0.8443 867.829909 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1950 0.7234 867.838397 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
1960 0.8628 867.847079 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1970 0.8175 867.855638 0.000000 1.30900002 128.000000 21.725430 127.900055 0.000000 0.000000
1980 0.7886 867.864418 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1990 0.8268 867.873132 0.000000 1.30900002 128.000000 21.725426 127.900040 0.000000 0.000000
2000 0.8294 867.881640 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
2010 0.8520 867.890130 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
2020 0.7354 867.898727 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
2030 0.9727 867.907467 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
2040 0.7699 867.916030 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
2050 0.8531 867.924672 0.000000 1.30900002 128.000000 21.725430 127.900047 0.000000 0.000000
2060 0.8658 867.933397 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
2070 0.8282 867.941979 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
2080 0.7881 867.950762 0.000000 1.30900002 128.000000 21.725426 127.900047 0.000000 0.000000
2090 0.8380 867.959413 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
2100 1.2848 867.968589 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
2110 0.8870 867.976530 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
2120 1.1260 867.985427 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
2130 0.9764 867.993949 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
2140 1.6393 868.003365 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
2150 1.5458 868.011855 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
2160 0.7765 868.020216 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
2170 1.5855 868.028911 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
2180 0.7867 868.037298 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
2190 0.8153 868.045988 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
2200 0.6569 868.054515 0.000000 1.30900002 128.000000 21.725426 127.900040 0.000000 0.000000
