# Daggerfall N per-frame log -- one line per PRESENTED frame.
# No readback, no settle, no cooldown: this instrument cannot
# quiet the thing it is pointed at. Between-frames motion is
# arithmetic on adjacent lines.
# frame dt_ms game_s speed fov_y eye_x eye_y eye_z yaw pitch
# DECIMATED 1:10 from the raw DFN_FRAME_LOG (the run presented ~1150 frames/s,
# so this keeps ~115 samples per second against a 60 Hz simulation tick --
# every tick is still sampled about twice, and the quantity claimed from this
# file is a SUSTAINED DISPLACEMENT (mm of eye travel) plus the SHAPE of a
# 0.15 s ramp, neither of which decimation can hide. It is NOT a per-frame
# meander like docs/FINDING_RUN_SMEAR.md, where every frame had to be kept.
332 2.1117 866.513368 5.951400 1.41226947 137.443726 22.005955 126.908310 1.671715 0.000000
336 2.0069 866.522197 5.951400 1.41227639 137.495789 22.013926 126.915642 1.671704 0.000000
340 2.0399 866.531140 5.951400 1.41228318 137.548538 22.021906 126.923149 1.671693 0.000000
344 2.4277 866.540572 5.951400 1.41229010 137.604156 22.029915 126.931190 1.671682 0.000000
348 2.9178 866.549845 5.951400 1.41229677 137.658813 22.037666 126.939148 1.671671 0.000000
352 2.8250 866.558728 5.951354 1.41230285 137.711166 22.044388 126.946877 1.671660 0.000000
356 2.7401 866.567513 5.948621 1.41230869 137.762939 22.050951 126.954529 1.671649 0.000000
360 2.1443 866.576497 5.948621 1.41231251 137.815857 22.056982 126.962448 1.671638 0.000000
364 2.0106 866.585413 5.949532 1.41231632 137.868362 22.062721 126.970299 1.671627 0.000000
368 2.2226 866.594348 5.949532 1.41232061 137.920990 22.067667 126.978218 1.671615 0.000000
372 2.0129 866.603190 5.949532 1.41232467 137.973083 22.072187 126.986053 1.671604 0.000000
376 1.8751 866.611674 5.949532 1.41232860 138.023041 22.075888 126.993568 1.671593 0.000000
380 2.0790 866.620830 5.949485 1.41233253 138.076996 22.079403 127.001671 1.671581 0.000000
384 1.9974 866.629756 5.949485 1.41233623 138.129562 22.082275 127.009552 1.671569 0.000000
388 2.0409 866.638745 5.949485 1.41234004 138.182526 22.084595 127.017441 1.671558 0.000000
392 2.0844 866.647548 5.949485 1.41234362 138.234375 22.086500 127.025131 1.671546 0.000000
396 2.5757 866.656806 5.952940 1.41234910 138.288956 22.087742 127.033127 1.671534 0.000000
400 2.1683 866.665258 5.952940 1.41235447 138.338806 22.088627 127.040390 1.671523 0.000000
404 2.4609 866.674464 5.952029 1.41235971 138.393097 22.089157 127.048187 1.671512 0.000000
408 2.9695 866.683629 5.951982 1.41236472 138.447159 22.089594 127.055908 1.671502 0.000000
412 2.3431 866.692574 5.951982 1.41236913 138.499908 22.089687 127.063263 1.671492 0.000000
416 2.1600 866.701333 5.951982 1.41237366 138.551590 22.089766 127.070435 1.671481 0.000000
420 1.9955 866.710454 5.951982 1.41237819 138.605408 22.089771 127.077713 1.671471 0.000000
424 2.0645 866.719277 5.951982 1.41238248 138.657486 22.089832 127.084702 1.671461 0.000000
428 2.0084 866.728011 5.951982 1.41238630 138.709061 22.090019 127.091446 1.671451 0.000000
432 2.0655 866.736869 5.948339 1.41238928 138.761353 22.090454 127.098175 1.671440 0.000000
436 1.9170 866.745661 5.948339 1.41239059 138.813263 22.091248 127.104706 1.671430 0.000000
440 1.9642 866.754629 5.949250 1.41239214 138.866226 22.092375 127.111206 1.671419 0.000000
444 2.0409 866.763531 5.949250 1.41239405 138.918823 22.093790 127.117523 1.671408 0.000000
448 2.7080 866.772960 5.949203 1.41239583 138.974548 22.095886 127.124016 1.671396 0.000000
