# Daggerfall N per-frame ENVIRONMENT log -- one line per
# PRESENTED frame, taken at the set_environment() call.
# frame dark lights sun_x sun_y sun_z sun_lum amb_lum moon_light eye_x eye_y eye_z
90 0.000000 0 0.7828 0.5205 0.3410 0.9627 0.3586 0.0000 767.459 22.330 321.262
91 0.000000 0 0.7827 0.5206 0.3410 0.9627 0.3586 0.0000 767.466 22.331 321.267
92 0.000000 0 0.7827 0.5207 0.3410 0.9627 0.3586 0.0000 767.471 22.333 321.273
93 0.000000 0 0.7827 0.5207 0.3410 0.9627 0.3586 0.0000 767.476 22.334 321.277
94 0.000000 0 0.7826 0.5208 0.3410 0.9627 0.3586 0.0000 767.480 22.335 321.281
95 0.000000 0 0.7826 0.5208 0.3410 0.9627 0.3586 0.0000 767.484 22.336 321.285
96 0.000000 0 0.7826 0.5209 0.3410 0.9627 0.3586 0.0000 767.488 22.337 321.289
97 0.000000 0 0.7825 0.5209 0.3410 0.9627 0.3586 0.0000 767.488 22.338 321.289
98 0.000000 0 0.7825 0.5209 0.3410 0.9627 0.3586 0.0000 767.489 22.338 321.290
99 0.000000 0 0.7825 0.5210 0.3410 0.9627 0.3586 0.0000 767.490 22.339 321.291
100 0.000000 0 0.7825 0.5210 0.3410 0.9627 0.3586 0.0000 767.490 22.341 321.289
101 0.000000 0 0.7824 0.5211 0.3410 0.9627 0.3586 0.0000 767.494 22.347 321.293
102 0.000000 0 0.7824 0.5212 0.3410 0.9627 0.3586 0.0000 767.498 22.352 321.297
103 0.000000 0 0.7824 0.5212 0.3409 0.9627 0.3586 0.0000 767.502 22.353 321.301
104 0.000000 0 0.7823 0.5213 0.3409 0.9627 0.3586 0.0000 767.505 22.353 321.304
105 0.000000 0 0.7823 0.5213 0.3409 0.9627 0.3586 0.0000 767.509 22.354 321.308
106 0.000000 0 0.7823 0.5214 0.3409 0.9627 0.3586 0.0000 767.513 22.355 321.312
107 0.000000 0 0.7822 0.5214 0.3409 0.9627 0.3586 0.0000 767.514 22.355 321.313
108 0.000000 0 0.7822 0.5214 0.3409 0.9627 0.3586 0.0000 767.515 22.355 321.314
109 0.000000 0 0.7822 0.5215 0.3409 0.9627 0.3586 0.0000 767.519 22.356 321.318
110 0.000000 0 0.7822 0.5215 0.3409 0.9627 0.3586 0.0000 767.522 22.356 321.321
111 0.000000 0 0.7821 0.5216 0.3409 0.9627 0.3586 0.0000 767.525 22.356 321.324
112 0.000000 0 0.7821 0.5217 0.3409 0.9627 0.3586 0.0000 767.529 22.356 321.328
113 0.000000 0 0.7821 0.5217 0.3409 0.9627 0.3586 0.0000 767.533 22.356 321.332
114 0.000000 0 0.7820 0.5218 0.3409 0.9627 0.3586 0.0000 767.536 22.356 321.335
115 0.000000 0 0.7820 0.5218 0.3409 0.9627 0.3586 0.0000 767.540 22.356 321.338
116 0.000000 0 0.7820 0.5219 0.3409 0.9627 0.3586 0.0000 767.542 22.356 321.341
117 0.000000 0 0.7820 0.5219 0.3409 0.9627 0.3586 0.0000 767.543 22.356 321.342
118 0.000000 0 0.7819 0.5219 0.3408 0.9627 0.3586 0.0000 767.545 22.356 321.344
119 0.000000 0 0.7819 0.5220 0.3408 0.9627 0.3586 0.0000 767.549 22.356 321.348
120 0.000000 0 0.7818 0.5221 0.3408 0.9627 0.3586 0.0000 767.553 22.356 321.351
121 0.000000 0 0.7818 0.5221 0.3408 0.9627 0.3586 0.0000 767.556 22.356 321.354
122 0.000000 0 0.7818 0.5222 0.3408 0.9627 0.3586 0.0000 767.559 22.356 321.358
123 0.000000 0 0.7817 0.5222 0.3408 0.9627 0.3586 0.0000 767.562 22.356 321.361
124 0.000000 0 0.7817 0.5223 0.3408 0.9627 0.3586 0.0000 767.564 22.356 321.363
125 0.000000 0 0.7817 0.5223 0.3408 0.9627 0.3586 0.0000 767.567 22.356 321.366
126 0.000000 0 0.7817 0.5224 0.3408 0.9627 0.3586 0.0000 767.567 22.356 321.366
127 0.000000 0 0.7817 0.5224 0.3408 0.9627 0.3586 0.0000 767.568 22.356 321.367
128 0.000000 0 0.7817 0.5224 0.3408 0.9627 0.3586 0.0000 767.569 22.356 321.367
129 0.000000 0 0.7816 0.5225 0.3408 0.9627 0.3586 0.0000 767.572 22.356 321.371
130 0.000000 0 0.7816 0.5225 0.3408 0.9627 0.3586 0.0000 767.575 22.356 321.374
131 0.000000 0 0.7815 0.5226 0.3408 0.9627 0.3586 0.0000 767.578 22.356 321.377
132 0.000000 0 0.7815 0.5227 0.3408 0.9627 0.3586 0.0000 767.582 22.356 321.380
133 0.000000 0 0.7814 0.5228 0.3407 0.9627 0.3586 0.0000 767.586 22.356 321.385
134 0.000000 0 0.7814 0.5228 0.3407 0.9627 0.3586 0.0000 767.589 22.356 321.388
135 0.000000 0 0.7813 0.5229 0.3407 0.9627 0.3586 0.0000 767.592 22.356 321.391
136 0.000000 0 0.7813 0.5230 0.3407 0.9627 0.3586 0.0000 767.595 22.356 321.394
137 0.000000 0 0.7813 0.5230 0.3407 0.9627 0.3586 0.0000 767.595 22.356 321.394
138 0.000000 0 0.7813 0.5230 0.3407 0.9627 0.3586 0.0000 767.596 22.356 321.394
139 0.000000 0 0.7813 0.5230 0.3407 0.9627 0.3586 0.0000 767.596 22.356 321.395
140 0.000000 0 0.7813 0.5230 0.3407 0.9627 0.3586 0.0000 767.597 22.356 321.396
141 0.000000 0 0.7813 0.5230 0.3407 0.9627 0.3586 0.0000 767.597 22.356 321.396
142 0.000000 0 0.7813 0.5230 0.3407 0.9627 0.3586 0.0000 767.598 22.356 321.397
143 0.000000 0 0.7812 0.5231 0.3407 0.9627 0.3586 0.0000 767.599 22.356 321.397
144 0.000000 0 0.7812 0.5231 0.3407 0.9627 0.3586 0.0000 767.599 22.356 321.398
145 0.000000 0 0.7812 0.5231 0.3407 0.9627 0.3586 0.0000 767.600 22.356 321.398
146 0.000000 0 0.7812 0.5231 0.3407 0.9627 0.3586 0.0000 767.600 22.356 321.399
147 0.000000 0 0.7812 0.5231 0.3407 0.9627 0.3586 0.0000 767.601 22.356 321.400
148 0.000000 0 0.7812 0.5231 0.3407 0.9627 0.3586 0.0000 767.602 22.356 321.400
149 0.000000 0 0.7812 0.5231 0.3407 0.9627 0.3586 0.0000 767.602 22.356 321.401
150 0.000000 0 0.7812 0.5232 0.3407 0.9627 0.3586 0.0000 767.603 22.356 321.401
