tick,eye_x,eye_y,eye_z,yaw,pitch,hit,distance_m,verb,prompt_key,entity
94,128.5096,20.9991,129.7413,3.1666,0.0000,0,0.0000,0,0,4294967295
95,128.5069,20.9969,129.7712,3.1666,0.0000,0,0.0000,0,0,4294967295
96,128.5042,20.9940,129.8011,3.1666,0.0000,0,0.0000,0,0,4294967295
97,128.5015,20.9905,129.8311,3.1666,0.0000,0,0.0000,0,0,4294967295
98,128.4988,20.9864,129.8610,3.1666,0.0000,0,0.0000,0,0,4294967295
99,128.4961,20.9818,129.8909,3.1666,0.0000,0,0.0000,0,0,4294967295
100,128.4935,20.9767,129.9209,3.1666,0.0000,0,0.0000,0,0,4294967295
101,128.4910,20.9711,129.9508,3.1666,0.0000,0,0.0000,0,0,4294967295
102,128.4886,20.9653,129.9808,3.1666,0.0000,0,0.0000,0,0,4294967295
103,128.4863,20.9593,130.0107,3.1666,0.0000,0,0.0000,0,0,4294967295
104,128.4842,20.9534,130.0407,3.1666,0.0000,0,0.0000,0,0,4294967295
105,128.4822,20.9474,130.0706,3.1666,0.0000,0,0.0000,0,0,4294967295
106,128.4803,20.9417,130.1006,3.1666,0.0000,0,0.0000,0,0,4294967295
107,128.4786,20.9362,130.1306,3.1666,0.0000,0,0.0000,0,0,4294967295
108,128.4771,20.9312,130.1605,3.1666,0.0000,0,0.0000,0,0,4294967295
109,128.4757,20.9266,130.1905,3.1666,0.0000,0,0.0000,0,0,4294967295
110,128.4745,20.9227,130.2205,3.1666,0.0000,0,0.0000,0,0,4294967295
111,128.4736,20.9192,130.2505,3.1666,0.0000,0,0.0000,0,0,4294967295
112,128.4728,20.9166,130.2805,3.1666,0.0000,0,0.0000,0,0,4294967295
113,128.4722,20.9144,130.3105,3.1666,0.0000,0,0.0000,0,0,4294967295
114,128.4718,20.9130,130.3405,3.1666,0.0000,0,0.0000,0,0,4294967295
115,128.4716,20.9120,130.3705,3.1666,0.0000,0,0.0000,0,0,4294967295
116,128.4716,20.9117,130.4005,3.1666,0.0000,0,0.0000,0,0,4294967295
117,128.4717,20.9116,130.4305,3.1666,0.0000,0,0.0000,0,0,4294967295
118,128.4721,20.9121,130.4605,3.1666,0.0000,0,0.0000,0,0,4294967295
119,128.4725,20.9126,130.4905,3.1666,0.0000,0,0.0000,0,0,4294967295
120,128.4732,20.9133,130.5206,3.1666,0.0000,0,0.0000,0,0,4294967295
121,128.4740,20.9139,130.5506,3.1666,0.0000,0,0.0000,0,0,4294967295
122,128.4748,20.9145,130.5806,3.1666,0.0000,0,0.0000,0,0,4294967295
123,128.4760,20.9162,130.6107,3.1666,0.0000,0,0.0000,0,0,4294967295
124,128.4772,20.9174,130.6408,3.1666,0.0000,0,0.0000,0,0,4294967295
125,128.4784,20.9168,130.6709,3.1666,0.0000,0,0.0000,0,0,4294967295
126,128.4796,20.9135,130.7009,3.1666,0.0000,0,0.0000,0,0,4294967295
127,128.4809,20.9111,130.7309,3.1666,0.0000,0,0.0000,0,0,4294967295
128,128.4821,20.9080,130.7610,3.1666,0.0000,0,0.0000,0,0,4294967295
129,128.4834,20.9043,130.7910,3.1666,0.0000,0,0.0000,0,0,4294967295
130,128.4846,20.8999,130.8210,3.1666,0.0000,0,0.0000,0,0,4294967295
131,128.4858,20.8951,130.8511,3.1666,0.0000,0,0.0000,0,0,4294967295
132,128.4870,20.8895,130.8811,3.1666,0.0000,0,0.0000,0,0,4294967295
133,128.4881,20.8836,130.9111,3.1666,0.0000,0,0.0000,0,0,4294967295
134,128.4890,20.8773,130.9411,3.1666,0.0000,0,0.0000,0,0,4294967295
135,128.4899,20.8707,130.9712,3.1666,0.0000,0,0.0000,0,0,4294967295
136,128.4907,20.8640,131.0012,3.1666,0.0000,0,0.0000,0,0,4294967295
137,128.4913,20.8573,131.0312,3.1666,0.0000,0,0.0000,0,0,4294967295
138,128.4918,20.8507,131.0612,3.1666,0.0000,0,0.0000,0,0,4294967295
139,128.4921,20.8444,131.0912,3.1666,0.0000,0,0.0000,0,0,4294967295
140,128.4923,20.8383,131.1212,3.1666,0.0000,0,0.0000,0,0,4294967295
141,128.4922,20.8327,131.1512,3.1666,0.0000,0,0.0000,0,0,4294967295
142,128.4920,20.8276,131.1812,3.1666,0.0000,0,0.0000,0,0,4294967295
143,128.4916,20.8231,131.2112,3.1666,0.0000,0,0.0000,0,0,4294967295
144,128.4910,20.8193,131.2412,3.1666,0.0000,0,0.0000,0,0,4294967295
145,128.4902,20.8161,131.2712,3.1666,0.0000,0,0.0000,0,0,4294967295
146,128.4893,20.8135,131.3012,3.1666,0.0000,0,0.0000,0,0,4294967295
147,128.4881,20.8115,131.3311,3.1666,0.0000,0,0.0000,0,0,4294967295
148,128.4867,20.8101,131.3611,3.1666,0.0000,0,0.0000,0,0,4294967295
149,128.4852,20.8091,131.3911,3.1666,0.0000,0,0.0000,0,0,4294967295
150,128.4835,20.8086,131.4210,3.1666,0.0000,0,0.0000,0,0,4294967295
151,128.4816,20.8084,131.4510,3.1666,0.0000,0,0.0000,0,0,4294967295
152,128.4796,20.8091,131.4810,3.1666,0.0000,0,0.0000,0,0,4294967295
153,128.4776,20.8110,131.5110,3.1666,0.0000,0,0.0000,0,0,4294967295
154,128.4755,20.8128,131.5410,3.1667,0.0000,0,0.0000,0,0,4294967295
155,128.4733,20.8144,131.5710,3.1667,0.0000,0,0.0000,0,0,4294967295
156,128.4708,20.8148,131.6010,3.1667,0.0000,0,0.0000,0,0,4294967295
157,128.4682,20.8133,131.6309,3.1667,0.0000,0,0.0000,0,0,4294967295
158,128.4655,20.8120,131.6609,3.1667,0.0000,0,0.0000,0,0,4294967295
159,128.4628,20.8102,131.6908,3.1667,0.0000,0,0.0000,0,0,4294967295
160,128.4601,20.8078,131.7207,3.1667,0.0000,0,0.0000,0,0,4294967295
161,128.4573,20.8047,131.7507,3.1667,0.0000,0,0.0000,0,0,4294967295
162,128.4545,20.8009,131.7806,3.1667,0.0000,0,0.0000,0,0,4294967295
163,128.4518,20.7966,131.8105,3.1667,0.0000,0,0.0000,0,0,4294967295
164,128.4491,20.7917,131.8405,3.1667,0.0000,0,0.0000,0,0,4294967295
165,128.4465,20.7862,131.8704,3.1667,0.0000,0,0.0000,0,0,4294967295
