# call qx qy qz carve_dist ground_y open_to_sky path_m path_measured darkness roof_y
148 805.629 26.314 293.389 +1.361176 26.266 0 0.000 0 0.000000 -1000000000.000
149 805.686 26.344 293.341 +1.342455 26.295 0 0.000 0 0.000000 -1000000000.000
150 805.760 26.383 293.277 +1.317348 26.335 0 0.000 0 0.000000 -1000000000.000
151 805.853 26.433 293.196 +1.285698 26.385 0 0.000 0 0.000000 -1000000000.000
152 805.926 26.474 293.131 +1.260174 26.425 0 0.000 0 0.000000 -1000000000.000
153 805.999 26.514 293.065 +1.234236 26.466 0 0.000 0 0.000000 -1000000000.000
154 806.075 26.554 293.002 +1.209229 26.505 0 0.000 0 0.000000 -1000000000.000
155 806.096 26.563 292.988 +1.203823 26.514 0 0.000 0 0.000000 -1000000000.000
156 806.096 26.563 292.988 +1.203823 26.514 0 0.000 0 0.000000 -1000000000.000
157 806.096 26.563 292.988 +1.203823 26.514 0 0.000 0 0.000000 -1000000000.000
158 806.096 26.563 292.988 +1.203823 26.514 0 0.000 0 0.000000 -1000000000.000
159 806.096 26.563 292.988 +1.203823 26.514 0 0.000 0 0.000000 -1000000000.000
160 806.096 26.563 292.988 +1.203823 26.514 0 0.000 0 0.000000 -1000000000.000
161 806.096 26.563 292.988 +1.203823 26.514 0 0.000 0 0.000000 -1000000000.000
162 806.118 26.572 292.975 +1.198627 26.523 0 0.000 0 0.000000 -1000000000.000
163 806.118 26.572 292.975 +1.198627 26.523 0 0.000 0 0.000000 -1000000000.000
164 806.118 26.572 292.975 +1.198627 26.523 0 0.000 0 0.000000 -1000000000.000
165 806.118 26.572 292.975 +1.198627 26.523 0 0.000 0 0.000000 -1000000000.000
166 806.118 26.572 292.975 +1.198627 26.523 0 0.000 0 0.000000 -1000000000.000
167 806.140 26.581 292.962 +1.193438 26.532 0 0.000 0 0.000000 -1000000000.000
168 806.140 26.581 292.962 +1.193438 26.532 0 0.000 0 0.000000 -1000000000.000
169 806.140 26.581 292.962 +1.193438 26.532 0 0.000 0 0.000000 -1000000000.000
170 806.140 26.581 292.962 +1.193438 26.532 0 0.000 0 0.000000 -1000000000.000
171 806.162 26.590 292.949 +1.188238 26.541 0 0.000 0 0.000000 -1000000000.000
172 806.162 26.590 292.949 +1.188238 26.541 0 0.000 0 0.000000 -1000000000.000
173 806.162 26.590 292.949 +1.188238 26.541 0 0.000 0 0.000000 -1000000000.000
174 806.162 26.590 292.949 +1.188238 26.541 0 0.000 0 0.000000 -1000000000.000
175 806.162 26.590 292.949 +1.188238 26.541 0 0.000 0 0.000000 -1000000000.000
176 806.184 26.599 292.936 +1.183039 26.550 0 0.000 0 0.000000 -1000000000.000
177 806.184 26.599 292.936 +1.183039 26.550 0 0.000 0 0.000000 -1000000000.000
178 806.184 26.599 292.936 +1.183039 26.550 0 0.000 0 0.000000 -1000000000.000
179 806.184 26.599 292.936 +1.183039 26.550 0 0.000 0 0.000000 -1000000000.000
180 806.184 26.599 292.936 +1.183039 26.550 0 0.000 0 0.000000 -1000000000.000
181 806.184 26.599 292.936 +1.183039 26.550 0 0.000 0 0.000000 -1000000000.000
182 806.206 26.608 292.923 +1.177839 26.559 0 0.000 0 0.000000 -1000000000.000
183 806.206 26.608 292.923 +1.177839 26.559 0 0.000 0 0.000000 -1000000000.000
184 806.206 26.608 292.923 +1.177839 26.559 0 0.000 0 0.000000 -1000000000.000
185 806.228 26.617 292.909 +1.172628 26.568 0 0.000 0 0.000000 -1000000000.000
186 806.228 26.617 292.909 +1.172628 26.568 0 0.000 0 0.000000 -1000000000.000
187 806.228 26.617 292.909 +1.172628 26.568 0 0.000 0 0.000000 -1000000000.000
188 806.228 26.617 292.909 +1.172628 26.568 0 0.000 0 0.000000 -1000000000.000
189 806.228 26.617 292.909 +1.172628 26.568 0 0.000 0 0.000000 -1000000000.000
190 806.250 26.626 292.896 +1.167408 26.577 0 0.000 0 0.000000 -1000000000.000
191 806.359 26.671 292.830 +1.141291 26.622 0 0.000 0 0.000000 -1000000000.000
192 806.403 26.689 292.804 +1.130808 26.640 0 0.000 0 0.000000 -1000000000.000
193 806.403 26.689 292.804 +1.130808 26.640 0 0.000 0 0.000000 -1000000000.000
194 806.403 26.689 292.804 +1.130808 26.640 0 0.000 0 0.000000 -1000000000.000
195 806.425 26.698 292.790 +1.125702 26.649 0 0.000 0 0.000000 -1000000000.000
196 806.425 26.698 292.790 +1.125702 26.649 0 0.000 0 0.000000 -1000000000.000
197 806.425 26.698 292.790 +1.125702 26.649 0 0.000 0 0.000000 -1000000000.000
198 806.425 26.698 292.790 +1.125702 26.649 0 0.000 0 0.000000 -1000000000.000
199 806.447 26.707 292.777 +1.120573 26.659 0 0.000 0 0.000000 -1000000000.000
200 806.447 26.707 292.777 +1.120573 26.659 0 0.000 0 0.000000 -1000000000.000
201 806.447 26.707 292.777 +1.120573 26.659 0 0.000 0 0.000000 -1000000000.000
202 806.469 26.716 292.764 +1.115450 26.668 0 0.000 0 0.000000 -1000000000.000
203 806.469 26.716 292.764 +1.115450 26.668 0 0.000 0 0.000000 -1000000000.000
204 806.469 26.716 292.764 +1.115450 26.668 0 0.000 0 0.000000 -1000000000.000
205 806.491 26.725 292.750 +1.110317 26.677 0 0.000 0 0.000000 -1000000000.000
206 806.491 26.725 292.750 +1.110317 26.677 0 0.000 0 0.000000 -1000000000.000
207 806.491 26.725 292.750 +1.110317 26.677 0 0.000 0 0.000000 -1000000000.000
208 806.491 26.725 292.750 +1.110317 26.677 0 0.000 0 0.000000 -1000000000.000
209 806.513 26.733 292.737 +1.105181 26.686 0 0.000 0 0.000000 -1000000000.000
210 806.513 26.733 292.737 +1.105181 26.686 0 0.000 0 0.000000 -1000000000.000
211 806.513 26.733 292.737 +1.105181 26.686 0 0.000 0 0.000000 -1000000000.000
212 806.534 26.743 292.724 +1.099642 26.695 0 0.000 0 0.000000 -1000000000.000
213 806.534 26.743 292.724 +1.099642 26.695 0 0.000 0 0.000000 -1000000000.000
214 806.556 26.752 292.711 +1.094635 26.704 0 0.000 0 0.000000 -1000000000.000
215 806.556 26.752 292.711 +1.094635 26.704 0 0.000 0 0.000000 -1000000000.000
216 806.556 26.752 292.711 +1.094635 26.704 0 0.000 0 0.000000 -1000000000.000
217 806.578 26.761 292.697 +1.089344 26.713 0 0.000 0 0.000000 -1000000000.000
218 806.578 26.761 292.697 +1.089344 26.713 0 0.000 0 0.000000 -1000000000.000
219 806.600 26.770 292.684 +1.084055 26.722 0 0.000 0 0.000000 -1000000000.000
220 806.600 26.770 292.684 +1.084055 26.722 0 0.000 0 0.000000 -1000000000.000
221 806.622 26.779 292.671 +1.078587 26.731 0 0.000 0 0.000000 -1000000000.000
222 806.643 26.788 292.658 +1.073002 26.740 0 0.000 0 0.000000 -1000000000.000
223 806.665 26.797 292.644 +1.068161 26.749 0 0.000 0 0.000000 -1000000000.000
224 806.665 26.797 292.644 +1.068161 26.749 0 0.000 0 0.000000 -1000000000.000
225 806.687 26.806 292.631 +1.062866 26.758 0 0.000 0 0.000000 -1000000000.000
226 806.687 26.806 292.631 +1.062866 26.758 0 0.000 0 0.000000 -1000000000.000
227 806.687 26.806 292.631 +1.062866 26.758 0 0.000 0 0.000000 -1000000000.000
228 806.709 26.815 292.618 +1.057560 26.767 0 0.000 0 0.000000 -1000000000.000
229 806.709 26.815 292.618 +1.057560 26.767 0 0.000 0 0.000000 -1000000000.000
230 806.709 26.815 292.618 +1.057560 26.767 0 0.000 0 0.000000 -1000000000.000
231 806.730 26.824 292.604 +1.052246 26.777 0 0.000 0 0.000000 -1000000000.000
232 806.752 26.833 292.591 +1.046934 26.786 0 0.000 0 0.000000 -1000000000.000
233 806.774 26.842 292.578 +1.041626 26.795 0 0.000 0 0.000000 -1000000000.000
234 806.795 26.851 292.564 +1.036299 26.804 0 0.000 0 0.000000 -1000000000.000
235 806.795 26.851 292.564 +1.036299 26.804 0 0.000 0 0.000000 -1000000000.000
236 806.817 26.860 292.551 +1.030975 26.813 0 0.000 0 0.000000 -1000000000.000
237 806.839 26.870 292.537 +1.025644 26.822 0 0.000 0 0.000000 -1000000000.000
238 806.839 26.870 292.537 +1.025644 26.822 0 0.000 0 0.000000 -1000000000.000
239 806.860 26.879 292.524 +1.020308 26.831 0 0.000 0 0.000000 -1000000000.000
240 806.860 26.879 292.524 +1.020308 26.831 0 0.000 0 0.000000 -1000000000.000
241 806.860 26.879 292.524 +1.020308 26.831 0 0.000 0 0.000000 -1000000000.000
242 806.882 26.888 292.511 +1.014975 26.841 0 0.000 0 0.000000 -1000000000.000
243 806.882 26.888 292.511 +1.014975 26.841 0 0.000 0 0.000000 -1000000000.000
244 806.904 26.897 292.497 +1.009628 26.850 0 0.000 0 0.000000 -1000000000.000
245 806.925 26.906 292.484 +1.004274 26.859 0 0.000 0 0.000000 -1000000000.000
246 806.925 26.906 292.484 +1.004274 26.859 0 0.000 0 0.000000 -1000000000.000
247 806.925 26.906 292.484 +1.004274 26.859 0 0.000 0 0.000000 -1000000000.000
248 806.947 26.915 292.470 +0.998928 26.868 0 0.000 0 0.000000 -1000000000.000
249 806.947 26.915 292.470 +0.998928 26.868 0 0.000 0 0.000000 -1000000000.000
250 806.947 26.915 292.470 +0.998928 26.868 0 0.000 0 0.000000 -1000000000.000
251 806.969 26.924 292.457 +0.993568 26.877 0 0.000 0 0.000000 -1000000000.000
252 806.990 26.933 292.443 +0.988216 26.886 0 0.000 0 0.000000 -1000000000.000
253 806.990 26.933 292.443 +0.988216 26.886 0 0.000 0 0.000000 -1000000000.000
254 806.990 26.933 292.443 +0.988216 26.886 0 0.000 0 0.000000 -1000000000.000
255 806.990 26.933 292.443 +0.988216 26.886 0 0.000 0 0.000000 -1000000000.000
256 807.012 26.943 292.430 +0.982857 26.896 0 0.000 0 0.000000 -1000000000.000
257 807.012 26.943 292.430 +0.982857 26.896 0 0.000 0 0.000000 -1000000000.000
258 807.012 26.943 292.430 +0.982857 26.896 0 0.000 0 0.000000 -1000000000.000
259 807.033 26.952 292.416 +0.977493 26.905 0 0.000 0 0.000000 -1000000000.000
260 807.033 26.952 292.416 +0.977493 26.905 0 0.000 0 0.000000 -1000000000.000
261 807.033 26.952 292.416 +0.977493 26.905 0 0.000 0 0.000000 -1000000000.000
262 807.055 26.961 292.403 +0.972120 26.914 0 0.000 0 0.000000 -1000000000.000
263 807.055 26.961 292.403 +0.972120 26.914 0 0.000 0 0.000000 -1000000000.000
264 807.055 26.961 292.403 +0.972120 26.914 0 0.000 0 0.000000 -1000000000.000
265 807.076 26.970 292.389 +0.966751 26.923 0 0.000 0 0.000000 -1000000000.000
266 807.076 26.970 292.389 +0.966751 26.923 0 0.000 0 0.000000 -1000000000.000
267 807.076 26.970 292.389 +0.966751 26.923 0 0.000 0 0.000000 -1000000000.000
268 807.076 26.970 292.389 +0.966751 26.923 0 0.000 0 0.000000 -1000000000.000
269 807.098 26.979 292.376 +0.961370 26.932 0 0.000 0 0.000000 -1000000000.000
270 807.098 26.979 292.376 +0.961370 26.932 0 0.000 0 0.000000 -1000000000.000
271 807.098 26.979 292.376 +0.961370 26.932 0 0.000 0 0.000000 -1000000000.000
272 807.120 26.988 292.362 +0.955986 26.942 0 0.000 0 0.000000 -1000000000.000
273 807.120 26.988 292.362 +0.955986 26.942 0 0.000 0 0.000000 -1000000000.000
274 807.120 26.988 292.362 +0.955986 26.942 0 0.000 0 0.000000 -1000000000.000
275 807.141 26.997 292.349 +0.950598 26.951 0 0.000 0 0.000000 -1000000000.000
276 807.141 26.997 292.349 +0.950598 26.951 0 0.000 0 0.000000 -1000000000.000
277 807.163 27.007 292.335 +0.945200 26.960 0 0.000 0 0.000000 -1000000000.000
278 807.163 27.007 292.335 +0.945200 26.960 0 0.000 0 0.000000 -1000000000.000
279 807.163 27.007 292.335 +0.945200 26.960 0 0.000 0 0.000000 -1000000000.000
280 807.184 27.016 292.321 +0.939806 26.969 0 0.000 0 0.000000 -1000000000.000
281 807.184 27.016 292.321 +0.939806 26.969 0 0.000 0 0.000000 -1000000000.000
282 807.205 27.025 292.308 +0.934093 26.979 0 0.000 0 0.000000 -1000000000.000
283 807.205 27.025 292.308 +0.934093 26.979 0 0.000 0 0.000000 -1000000000.000
284 807.205 27.025 292.308 +0.934093 26.979 0 0.000 0 0.000000 -1000000000.000
285 807.227 27.034 292.294 +0.928743 26.988 0 0.000 0 0.000000 -1000000000.000
286 807.227 27.034 292.294 +0.928743 26.988 0 0.000 0 0.000000 -1000000000.000
287 807.227 27.034 292.294 +0.928743 26.988 0 0.000 0 0.000000 -1000000000.000
288 807.248 27.043 292.281 +0.923328 26.997 0 0.000 0 0.000000 -1000000000.000
289 807.248 27.043 292.281 +0.923328 26.997 0 0.000 0 0.000000 -1000000000.000
290 807.270 27.053 292.267 +0.917776 27.006 0 0.000 0 0.000000 -1000000000.000
291 807.270 27.053 292.267 +0.917776 27.006 0 0.000 0 0.000000 -1000000000.000
292 807.270 27.053 292.267 +0.917776 27.006 0 0.000 0 0.000000 -1000000000.000
293 807.270 27.053 292.267 +0.917776 27.006 0 0.000 0 0.000000 -1000000000.000
294 807.270 27.053 292.267 +0.917776 27.006 0 0.000 0 0.000000 -1000000000.000
295 807.291 27.062 292.254 +0.912214 27.015 0 0.000 0 0.000000 -1000000000.000
296 807.291 27.062 292.254 +0.912214 27.015 0 0.000 0 0.000000 -1000000000.000
297 807.291 27.062 292.254 +0.912214 27.015 0 0.000 0 0.000000 -1000000000.000
298 807.291 27.062 292.254 +0.912214 27.015 0 0.000 0 0.000000 -1000000000.000
299 807.312 27.071 292.241 +0.906658 27.025 0 0.000 0 0.000000 -1000000000.000
300 807.312 27.071 292.241 +0.906658 27.025 0 0.000 0 0.000000 -1000000000.000
301 807.334 27.081 292.227 +0.900932 27.034 0 0.000 0 0.000000 -1000000000.000
302 807.334 27.081 292.227 +0.900932 27.034 0 0.000 0 0.000000 -1000000000.000
303 807.334 27.081 292.227 +0.900932 27.034 0 0.000 0 0.000000 -1000000000.000
304 807.355 27.090 292.214 +0.895267 27.043 0 0.000 0 0.000000 -1000000000.000
305 807.376 27.100 292.201 +0.889605 27.052 0 0.000 0 0.000000 -1000000000.000
306 807.376 27.100 292.201 +0.889605 27.052 0 0.000 0 0.000000 -1000000000.000
307 807.376 27.100 292.201 +0.889605 27.052 0 0.000 0 0.000000 -1000000000.000
