# Daggerfall N per-frame ENVIRONMENT log -- one line per
# PRESENTED frame, taken at the set_environment() call.
# frame dark lights sun_x sun_y sun_z sun_lum amb_lum moon_light eye_x eye_y eye_z
107 0.000000 0 0.7754 0.5325 0.3394 0.9627 0.3586 0.0000 805.245 27.779 293.680
108 0.000000 0 0.7754 0.5325 0.3394 0.9627 0.3586 0.0000 805.252 27.783 293.673
109 0.000000 0 0.7753 0.5326 0.3394 0.9627 0.3586 0.0000 805.307 27.805 293.625
110 0.000000 0 0.7753 0.5327 0.3394 0.9627 0.3586 0.0000 805.385 27.835 293.555
111 0.000000 0 0.7752 0.5328 0.3394 0.9627 0.3586 0.0000 805.471 27.874 293.483
112 0.000000 0 0.7751 0.5330 0.3394 0.9627 0.3586 0.0000 805.542 27.912 293.424
113 0.000000 0 0.7750 0.5331 0.3393 0.9627 0.3586 0.0000 805.631 27.966 293.354
114 0.000000 0 0.7749 0.5332 0.3393 0.9627 0.3586 0.0000 805.699 28.009 293.300
115 0.000000 0 0.7749 0.5333 0.3393 0.9627 0.3586 0.0000 805.764 28.048 293.251
116 0.000000 0 0.7748 0.5334 0.3393 0.9627 0.3586 0.0000 805.823 28.082 293.205
117 0.000000 0 0.7748 0.5334 0.3393 0.9627 0.3586 0.0000 805.831 28.086 293.199
118 0.000000 0 0.7748 0.5335 0.3393 0.9627 0.3586 0.0000 805.901 28.119 293.145
119 0.000000 0 0.7747 0.5336 0.3393 0.9627 0.3586 0.0000 805.962 28.144 293.096
120 0.000000 0 0.7746 0.5337 0.3393 0.9627 0.3586 0.0000 806.046 28.178 293.026
121 0.000000 0 0.7745 0.5339 0.3392 0.9627 0.3586 0.0000 806.137 28.217 292.955
122 0.000000 0 0.7745 0.5340 0.3392 0.9627 0.3586 0.0000 806.219 28.249 292.918
123 0.000000 0 0.7744 0.5341 0.3392 0.9627 0.3586 0.0000 806.292 28.283 292.873
124 0.000000 0 0.7743 0.5342 0.3392 0.9627 0.3586 0.0000 806.369 28.325 292.823
125 0.000000 0 0.7743 0.5343 0.3392 0.9627 0.3586 0.0000 806.428 28.356 292.784
126 0.000000 0 0.7743 0.5343 0.3392 0.9627 0.3586 0.0000 806.434 28.360 292.779
127 0.000000 0 0.7743 0.5343 0.3392 0.9627 0.3586 0.0000 806.442 28.364 292.773
128 0.000000 0 0.7742 0.5344 0.3392 0.9627 0.3586 0.0000 806.526 28.406 292.715
129 0.000000 0 0.7741 0.5345 0.3391 0.9627 0.3586 0.0000 806.607 28.440 292.659
130 0.000000 0 0.7741 0.5346 0.3391 0.9627 0.3586 0.0000 806.670 28.462 292.615
131 0.000000 0 0.7740 0.5347 0.3391 0.9627 0.3586 0.0000 806.746 28.486 292.563
132 0.000000 0 0.7739 0.5348 0.3391 0.9627 0.3586 0.0000 806.859 28.523 292.489
133 0.000000 0 0.7738 0.5350 0.3391 0.9627 0.3586 0.0000 806.950 28.560 292.432
134 0.000000 0 0.7738 0.5351 0.3391 0.9627 0.3586 0.0000 807.028 28.597 292.384
135 0.000000 0 0.7737 0.5352 0.3391 0.9627 0.3586 0.0000 807.094 28.632 292.346
136 0.000000 0 0.7737 0.5352 0.3391 0.9627 0.3586 0.0000 807.102 28.636 292.341
137 0.000000 0 0.7737 0.5352 0.3391 0.9627 0.3586 0.0000 807.113 28.642 292.335
138 0.000000 0 0.7737 0.5352 0.3391 0.9627 0.3586 0.0000 807.124 28.647 292.329
139 0.000000 0 0.7737 0.5352 0.3390 0.9627 0.3586 0.0000 807.135 28.653 292.323
140 0.000000 0 0.7737 0.5352 0.3390 0.9627 0.3586 0.0000 807.146 28.659 292.316
141 0.000000 0 0.7737 0.5352 0.3390 0.9627 0.3586 0.0000 807.157 28.665 292.310
142 0.000000 0 0.7737 0.5353 0.3390 0.9627 0.3586 0.0000 807.168 28.671 292.304
143 0.000000 0 0.7737 0.5353 0.3390 0.9627 0.3586 0.0000 807.180 28.677 292.298
144 0.000000 0 0.7736 0.5353 0.3390 0.9627 0.3586 0.0000 807.191 28.682 292.291
145 0.000000 0 0.7736 0.5353 0.3390 0.9627 0.3586 0.0000 807.202 28.688 292.285
146 0.000000 0 0.7736 0.5353 0.3390 0.9627 0.3586 0.0000 807.213 28.694 292.279
147 0.000000 0 0.7736 0.5353 0.3390 0.9627 0.3586 0.0000 807.224 28.699 292.273
148 0.000000 0 0.7736 0.5353 0.3390 0.9627 0.3586 0.0000 807.236 28.704 292.266
149 0.000000 0 0.7736 0.5354 0.3390 0.9627 0.3586 0.0000 807.247 28.710 292.260
150 0.000000 0 0.7736 0.5354 0.3390 0.9627 0.3586 0.0000 807.258 28.715 292.254
151 0.000000 0 0.7736 0.5354 0.3390 0.9627 0.3586 0.0000 807.269 28.720 292.248
152 0.000000 0 0.7736 0.5354 0.3390 0.9627 0.3586 0.0000 807.281 28.725 292.242
153 0.000000 0 0.7736 0.5354 0.3390 0.9627 0.3586 0.0000 807.292 28.730 292.235
154 0.000000 0 0.7736 0.5354 0.3390 0.9627 0.3586 0.0000 807.303 28.734 292.229
155 0.000000 0 0.7735 0.5354 0.3390 0.9627 0.3586 0.0000 807.314 28.739 292.223
156 0.000000 0 0.7735 0.5355 0.3390 0.9627 0.3586 0.0000 807.326 28.743 292.217
157 0.000000 0 0.7735 0.5355 0.3390 0.9627 0.3586 0.0000 807.337 28.748 292.211
158 0.000000 0 0.7735 0.5355 0.3390 0.9627 0.3586 0.0000 807.348 28.752 292.205
159 0.000000 0 0.7735 0.5355 0.3390 0.9627 0.3586 0.0000 807.359 28.756 292.198
160 0.000000 0 0.7735 0.5355 0.3390 0.9627 0.3586 0.0000 807.371 28.760 292.192
161 0.000000 0 0.7735 0.5355 0.3390 0.9627 0.3586 0.0000 807.381 28.764 292.186
162 0.000000 0 0.7735 0.5355 0.3390 0.9627 0.3586 0.0000 807.393 28.768 292.180
163 0.000000 0 0.7735 0.5356 0.3390 0.9627 0.3586 0.0000 807.415 28.776 292.168
164 0.000000 0 0.7734 0.5356 0.3390 0.9627 0.3586 0.0000 807.426 28.779 292.162
165 0.000000 0 0.7734 0.5356 0.3390 0.9627 0.3586 0.0000 807.437 28.783 292.155
166 0.000000 0 0.7734 0.5356 0.3390 0.9627 0.3586 0.0000 807.448 28.787 292.149
167 0.000000 0 0.7734 0.5356 0.3390 0.9627 0.3586 0.0000 807.460 28.790 292.143
